Title,Type,Summary,Extract,Entity,Official source,Category
Alberta Personal Information Protection Act,Regulation,"The Personal Information Protection Act (PIPA) primarily relies on an individual’s consent and sets limits around what information organizations may collect and how they can collect it in order to allow individuals to control how their information is collected, used and disclosed.

Under PIPA, organizations can only collect personal information for reasonable purposes and to the extent reasonably needed for that purpose
","
Collection and consent
Types of consent

Before collecting personal information, an organization must usually:

A- get a person’s consent
b- collect the information directly from that person

A person can consent to the collection, use or disclosure of personal information for reasonable purposes (which is what a reasonable person would consider appropriate under the circumstances).

Someone may consent verbally or in writing, including via electronic communications
",Alberta,https://www.alberta.ca/personal-information-protection-act.aspx,Healthcare
BC- Personal Information Protection Act,Regulation,"The Acts includes sections such as Introductory Provisions; General Rules Respecting Protection of Personal Information by Organizations; Consent; Collection of Personal Information; Use of Personal Information; Disclosure of Personal Information; Access to and Correction of Personal Information; and more.
","Part 4-Collection of Personal Information
10- Required notification for collection of personal information
11- Limitations on collection of personal information
12- Collection of personal information without consent
13- Collection of employee personal information
",British Columbia,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/00_03063_01,Healthcare
The Personal Information Protection and Electronic Documents Act (PIPEDA),Regulation,"There are a number of requirements to comply with the law. Organizations covered by PIPEDA must generally obtain an individual's consent when they collect, use or disclose that individual's personal information. People have the right to access their personal information held by an organization. They also have the right to challenge its accuracy.

Personal information can only be used for the purposes for which it was collected. If an organization is going to use it for another purpose, they must obtain consent again. Personal information must be protected by appropriate safeguards","What is personal information?

Under PIPEDA, personal information includes any factual or subjective information, recorded or not, about an identifiable individual. This includes information in any form, such as:

age, name, ID numbers, income, ethnic origin, or blood type;
opinions, evaluations, comments, social status, or disciplinary actions; and
employee files, credit records, loan records, medical records, existence of a dispute between a consumer and a merchant, intentions (for example, to acquire goods or services, or change jobs).
",Canada,https://www.priv.gc.ca/en/privacy-topics/privacy-laws-in-canada/the-personal-information-protection-and-electronic-documents-act-pipeda/,Healthcare
WHO guidance on Ethics and governance of artificial intelligence for health,Guideline,"The WHO guidance on Ethics & Governance of Artificial Intelligence for Health is the product of eighteen months of deliberation amongst leading experts in ethics, digital technology, law, human rights, as well as experts from Ministries of Health.  

The report identifies the ethical challenges and risks with the use of artificial intelligence of health, six consensus principles to ensure AI works to the public benefit of all countries. 
It also contains a set of recommendations that can ensure the governance of artificial intelligence for health maximizes the promise of the technology and holds all stakeholders – in the public and private sector – accountable and responsive to the healthcare workers who will rely on these technologies and the communities and individuals whose health will be affected by its use.","Overview of the report

Section 1 explains the rationale for WHO’s engagement in this topic and the intended readership of the report’s findings, analyses and recommendations. 
Section 2 provides a non-technical definition of AI, which includes several forms of machine learning as a subset of AI techniques.
Section 3 provides a non-comprehensive classification and examples of AI
technologies for health.

Section 4 summarizes the laws, policies and principles that apply or could apply to the
use of AI for health.
Section 5 describes the six ethical principles that the Expert Group identified as
guiding the development and use of AI for health.
Section 6 presents the ethical challenges identified and discussed by the Expert Group to which these guiding ethical principles can be applied.

Section 7 examines how various stakeholders can introduce ethical practices, programmes and measures to anticipate or meet ethical norms and legal obligations.  
Section 8 is a discussion of how liability regimes may evolve with increasing use
of AI for health care.
Section 9 presents elements of a governance framework for AI for health.
",World Health Organization,https://www.who.int/publications/i/item/9789240029200,Healthcare
Good Machine Learning Practice for Medical Device Development: Guiding Principles,Guideline,"The U.S. Food and Drug Administration (FDA), Health Canada, and the United Kingdom's Medicines and Healthcare products Regulatory Agency (MHRA) have jointly identified 10 guiding principles that can inform the development of Good Machine Learning Practice (GMLP). 

These guiding principles will help promote safe, effective, and high-quality medical devices that use artificial intelligence and machine learning (AI/ML).","Guiding principles

1- Multi-Disciplinary Expertise Is Leveraged Throughout the Total Product Life Cycle.
2- Good Software Engineering and Security Practices Are Implemented.
3- Clinical Study Participants and Data Sets Are Representative of the Intended Patient Population
4- Training Data Sets Are Independent of Test Sets
5- Selected Reference Datasets Are Based Upon Best Available Methods
6- Model Design Is Tailored to the Available Data and Reflects the Intended Use of the Device
7- Focus Is Placed on the Performance of the Human-AI Team
8- Testing Demonstrates Device Performance During Clinically Relevant Conditions.
9- Users Are Provided Clear, Essential Information
10- Deployed Models Are Monitored for Performance and Re-training Risks Are Managed
",Canada,https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/good-machine-learning-practice-medical-device-development.html,Healthcare
UNESCO - AI and education: guidance for policy-makers,Guideline,"Accordingly, this UNESCO guidance seeks to help policy-makers better understand the possibilities and implications of AI for teaching and learning, so that its application in educational contexts genuinely helps achieve SDG 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all.

However, we must also be aware that the connection between AI and education will inevitably play out in very different ways depending on the national and socio-economic circumstances.
","6. Policy recommendations

6.1 A system-wide vision and strategic priorities
6.2 Overarching principle for AI and education policies
6.2 Overarching principle for AI and education policies
6.4 Policies and regulations for equitable, inclusive, and ethical use of AI
6.5 Master plans for using AI in education management, teaching, learning, and assessment
6.6 Pilot testing, monitoring and evaluation, and building an evidence base
6.7 Fostering local AI innovations for education
",UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000376709,Education
USA Office of Educational Technology Recommendations for the use of AI-enabled educational technology.,Guideline,"Today, many priorities for improvements to teaching and learning are unmet. Educators seek technology-enhanced approaches addressing these priorities that would be safe, effective, and scalable. Like all of us, educators use AI-powered services in their everyday lives, such as voice assistants in their homes; tools that can correct grammar, complete sentences, and write essays; and automated trip planning on their phones.

Everyone in education has a responsibility to harness the good to serve educational priorities while also protecting against the dangers that may arise as a result of AI being integrated in educational technology.
","Recommendations: Call to Action for Education Leaders

1: Emphasize Humans in the Loop
2: Align AI Models to a Shared Vision for Education
3: Design Using Modern Learning Principles
4: Prioritize Strengthening Trust
5: Inform and Involve Educators
6: Focus R&D on Addressing Context and Enhancing Trust and Safety
7: Develop Education-Specific Guidelines and Guardrails
",USA Office of Educational Technology,https://tech.ed.gov/ai/,Education
EU Ethical guidelines on the use of artificial intelligence and data in teaching and learning for educators,Guideline,"These guidelines clarify popular and widespread misconceptions about artificial intelligence (AI) that might confuse people and cause anxiety over its use, especially in education.

Ethical considerations and requirements underpinning the guidelines are addressed and practical advice is offered to educators and school leaders on how to integrate the effective use of AI and data into school education.
","These guidelines include:

A contextualisation of the objectives and possible use of AI in education, as well as a series of ethical considerations arising from them.
An explanation of the challenges of using AI techniques and data for teaching and learning purposes.
A series of questions related to the ethical and practical considerations of implementing AI and data-based resources and tools and advice on how to adapt them to different particular purposes and contexts.
A set of emerging skills for confident use of resources and tools or on the use of key technical terms in the field of education.
",European Commission,https://education.ec.europa.eu/news/ethical-guidelines-on-the-use-of-artificial-intelligence-and-data-in-teaching-and-learning-for-educators,Education
Supervised Alternative Learning and other Excusals from Attendance at School ,Regulation,The purpose of supervised alternative learning is to provide pupils who have significant difficulties with regular attendance at school with an alternative learning experience and individualized plan to enable the pupil to progress towards obtaining an Ontario secondary school diploma or achieving his or her other education and life goals.,A plan shall include the following information: 1. The pupil’s own education and other life goals. 2. A description of the activities in which the pupil will participate under the plan. The plan shall include one or more of the following activities: i. Enrolment in a course or class in which a pupil may earn a credit. ii. Enrolment in a non-credit life skills course or other non-credit course. iii. Preparation for employment and development of general employment skills. iv. Training for a specific job or type of employment. v. Full-time or part-time employment. vi. Counselling. vii. Volunteering. viii. Any other activity with the potential to help the pupil achieve the goals described in paragraph 1. 3. The name of the pupil’s primary contact person. 4. The ways in which the pupil’s primary contact person will monitor the pupil’s progress. 5. The ways in which the pupil will be helped with his or her transition from supervised alternative learning after the plan expires or is terminated. 6. The expiry date of the plan.,Ontario,https://www.ontario.ca/laws/regulation/100374,Education
School Regulation,Regulation,"The School Regulation provides a regulatory framework for school education in British Columbia including home education, duties of teachers, powers and duties of principals, vice principals or directors of instruction, duties of superintendent of schools, duties of secretary treasurers, insurance, short term borrowing, education advisory council, general interest course, Indian language instruction, referendum, deemed residence, and deemed number of hours of instruction.","The duties of a teacher include the following: 
(a) providing teaching and other educational services, including advice and instructional assistance, to the students assigned to the teacher, as required or assigned by the board or the minister; 
(b) providing such assistance as the board or principal considers necessary for the supervision of students on school premises and at school functions, whenever and wherever held; 
(c) ensuring that students understand and comply with the codes of conduct governing their behaviour and with the rules and policies governing the operation of the school;
...",British Columbia,https://www2.gov.bc.ca/assets/gov/education/administration/legislation-policy/legislation/schoollaw/d/bcreg_26589.pdf,Education
Recommendations for ethical and responsible use of artificial intelligence in digital agriculture,Guideline,"This study further provides recommendations for agriculture technology providers (ATPs) and policymakers on how to proactively mitigate ethical issues that may arise from the use of AI in farming. 

These recommendations cover a wide range of ethical considerations, such as addressing farmers' privacy concerns, ensuring reliable AI performance, enhancing sustainability in AI systems, and reducing AI bias.
","The article includes:

1- An Ethical framework for assessment of artificial intelligence-based solutions in agriculture.
2- Recommendations for agricultural technology providers such as Transparency, Robustness, Privacy and Fairness.
3- Recommendations for policymakers such as safety of AI equipment, fair opportunities to access, promote sustainable agriculture tools, etc.
",Scientific Journal Frontiers,https://www.frontiersin.org/articles/10.3389/frai.2022.884192/full,Agriculture
The social and ethical impacts of artificial intelligence in agriculture: mapping the agricultural AI literature,Guideline,"This paper will examine the social and ethical impacts of using artificial intelligence (AI) in the agricultural sector. 

It will identify what are some of the most prevalent challenges and impacts identified in the literature, how this correlates with those discussed in the domain of AI ethics, and are being implemented into AI ethics guidelines
","Eleven overarching ethical values and principles have emerged from our content analysis. 

These are, by frequency of the number of sources in which they were featured: transparency, justice and fairness, non-maleficence, responsibility, privacy, beneficence, freedom and autonomy, trust, dignity, sustainability, and solidarity.

In addition, there were a number of topics discussed within the agricultural AI literature that were not explicitly covered within the 11 overarching ethical principles, for example, employment, the impact of AI on the non-human world, and data ownership/control.
",Scientific Journal Springer,https://link.springer.com/article/10.1007/s00146-021-01377-9,Agriculture
Nutrient Management Act ,Regulation,The purpose of this Act is to provide for the management of materials containing nutrients in ways that will enhance protection of the natural environment and provide a sustainable future for agricultural operations and rural development. ,"(2) Without limiting the generality of subsection (1), the Lieutenant Governor in Council may make regulations,
(w)  governing the use of innovative technologies in the management of materials containing nutrients used by and on agricultural operations, including specifying conditions for the use of those technologies and respecting the manner and the circumstances in which they may be used;",Ontario,https://www.ontario.ca/laws/statute/02n04,Agriculture
OECD - Trends and policy frameworks for AI in finance,Guideline,"This chapter introduces AI and its applications in finance and proposes three complementary frameworks to structure the AI policy debate in this sector to help policy makers assess the opportunities and challenges of AI diffusion in this sector. One approach assesses how each of the ten OECD AI Principles applies to this sector

The chapter concludes with a stocktaking of recent AI policies and regulations in the financial sector, highlighting policy efforts to design regulatory frameworks that promote innovation while mitigating risks.
","4- National policies to seize opportunities and mitigate risks of AI in the financial sector

4.1- Several national AI policies promote AI development and deployment in the finance sector
4.2- Regulators are promoting safe and secure innovation while addressing specific challenges raised by the deployment of AI systems in financial services
Box 1.2. A selection of AI regulatory approaches in the financial sector
",The Organisation for Economic Co-operation and Development,https://www.oecd-ilibrary.org/sites/cbc9d1af-en/index.html?itemId=/content/component/cbc9d1af-en#section-d1e1903,Finance
Financial Administration Act,Regulation,"An Act to provide for the financial administration of
the Government of Canada, the establishment and
maintenance of the accounts of Canada and the
control of Crown corporations
","Access to Information Act 
(5) For greater certainty, for the purposes of the Access to Information Act, the records of an entity to which the Treasury Board provides services under subsection 
(4) that are, on behalf of that entity, contained in or carried on the Treasury Board’s information technology systemsare not under the control of the Treasury Board.

Privacy Act 
(6) For greater certainty, for the purposes of the Privacy Act, personal information that is collected by an entity to which the Treasury Board provides services under subsection 
(4) and that is, on behalf of that entity, contained in or carried on the Treasury Board’s information technology systems is not under the control of the Treasury Board.",Canada,https://laws-lois.justice.gc.ca/eng/acts/f-11/,Finance
Financial Consumer Agency of Canada (FCAC),Regulation,"The Financial Consumer Agency of Canada is responsible for protecting the rights and interests of consumers of financial products and services. It supervises federally regulated financial entities, such as banks, and strengthens the financial literacy of Canadians.

We are a federal agency that works to keep Canada’s financial system safe and strong.","Protect
Protecting the rights and interests of consumers of financial products and services.
Supervise
Supervising the compliance of federally regulated financial entities with consumer protection measures set out in legislation and codes of conduct.
Educate
Educating Canadians and strengthening their financial literacy through online information, tools and resources. ",Canada,https://www.canada.ca/en/financial-consumer-agency.html,Finance
"Act Respecting The Protection Of Personal Information In The Private
Sector",Regulation,"The object of this Act is to establish, for the exercise of the rights conferred by articles 35 to 40 of the Civil Code concerning the protection of personal information, particular rules with respect to personal information relating to other persons which a person collects, holds, uses or communicates to third persons in the course of carrying on an enterprise within the meaning of article 1525 of the Civil Code.

The Act applies to such information whatever the nature of its medium and whatever the form in which it is accessible, whether written, graphic, taped, filmed, computerized, or other.
","Division 1 - Application And Interpretation
Division 1.1 - Responsibilities Relating To Protection Of Personal Information
Division 2 - Collection Of Personal Information....
Division 3 - Confidentiality Of Personal Information
Division 4 - Access By Persons Concerned
Division 5 - Recourse
",Quebec,https://www.legisquebec.gouv.qc.ca/en/pdf/cs/P-39.1.pdf,Finance
Canada: Data Protection in the Financial Sector,Guideline,"There is no single Canadian regulatory body that has jurisdiction over FinTech. Rather, depending on the type of FinTech-related product or service provided by the financial institution, a number of regulatory bodies will have jurisdiction.

In particular, FinTech businesses that provide banking, insurance, consumer credit, or capital raising services will find themselves subject to the same laws and regulations as incumbent businesses in the same areas. Further, FinTech businesses will be subject to more general business regulations such as PIPEDA and the substantially similar provincial private sector statutes, AML regulations, and consumer protection laws.
","In Canada, the collection, use, and disclosure of personal information is governed by privacy legislation, as well as legislation specifically governing the financial sector.

Depending on the financial entity and the information involved, different legislation and guidelines may apply, depending on:

1- the type of personal information and/or type of financial information involved;
2- the nature of the activity as it relates to the information;
3- the organisation involved, for example whether the financial institution is federally or provincially regulated, or both; and
4- the location of the collection, use, disclosure, storage, or other processing of the information, and whether that information is transferred across provincial or national borders.
",DataGuidance Regulatory Research Software,https://www.dataguidance.com/opinion/canada-data-protection-financial-sector,Finance
The Artificial Intelligence and Data Act (AIDA) - Companion document ,Guideline,"The AIDA proposes the following approach:

1- Building on existing Canadian consumer protection and human rights law, AIDA would ensure that high-impact AI systems meet the same expectations with respect to safety and human rights to which Canadians are accustomed..
2- The Minister of Innovation, Science, and Industry would be empowered to administer and enforce the Act, to ensure that policy and enforcement move together as the technology evolves. 
3- Prohibit reckless and malicious uses of AI that cause serious harm to Canadians and their interests through the creation of new criminal law provisions.

The AIDA would ensure accountability for risks associated with high-impact AI systems used in the course of international and interprovincial trade and commerce.
","Regulatory requirements

AIDA would require that appropriate measures be put in place to identify, assess, and mitigate risks of harm or biased output prior to a high-impact system being made available for use. This is intended to facilitate compliance by setting clear expectations regarding what is required at each stage of the life cycle.

The obligations for high-impact AI systems would be guided by the following principles, which are intended to align with international norms on the governance of AI systems: Human Oversight and Monitoring Transparency, Fairness and Equity, Safety, Accountability, Validity and Robustness.
",Canada,https://ised-isde.canada.ca/site/innovation-better-canada/en/artificial-intelligence-and-data-act-aida-companion-document,Finance
Responsible use of artificial intelligence (AI) by the Government,Guideline,"As we explore the use of AI in government programs and services, we are ensuring it is governed by clear values, ethics, and laws.

Using Artificial Intelligence in government means balancing innovation with the ethical and responsible use of emerging technologies.","To ensure the effective and ethical use of AI the government will:

1- understand and measure the impact of using AI by developing and sharing tools and approaches.
2- be transparent about how and when we are using AI, starting with a clear user need and public benefit.
3- provide meaningful explanations about AI decision making, while also offering opportunities to review results and challenge these decisions.
4- be as open as we can by sharing source code, training data, and other relevant information, all while protecting personal information, system integration, and national security and defence
5- provide sufficient training so that government employees developing and using AI solutions have the responsible design, function, and implementation skills needed to make AI-based public services better.",Canada,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai.html,General
Teaching Profession Act,Regulation,"The Teaching Profession Act establishes The Alberta Teachers’ Association (ATA) as a corporation that advances education in Alberta, including improvements in the teaching profession and increasing public interest in, and awareness of, important education matters. The Act identifies ATA responsibilities, such as promoting teaching excellence, supporting teacher preparation and certification, contributing to positive working conditions, advancing professional development, and conducting professional practice reviews. It also outlines ATA membership requirements and governance of the Association.","3(1) The association may take any measure that is not inconsistent
with this Act or any Act or regulation of Alberta and that it
considers necessary in order to give effect to any policy adopted by
it with respect to any question or matter directly or indirectly
affecting the teaching profession. ",Alberta,https://open.alberta.ca/publications/t02,Education
Personal Information Protection Act,Regulation,"Protects personal information that is collected, used or disclosed by private-sector organizations in the province. Balances the rights of individuals and the needs of organizations to collect, use and disclose personal information for reasonable purposes.","Purpose
3 The purpose of this Act is to govern the collection, use and
disclosure of personal information by organizations in a manner
that recognizes both the right of an individual to have his or her
personal information protected and the need of organizations to
collect, use or disclose personal information for purposes that are
reasonable. ",Alberta,https://open.alberta.ca/publications/p06p5,Education
Agricultural and Rural Development Act (ARDA),Regulation,This act outlines the requirements of and resources to be allotted to government affilliated research projects in the agricultural field. It further defines responsibility for the project and its consequences.,"3 The Minister may, with the approval of the Governor in Council, enter into an agreement with any province providing for the undertaking jointly with the government of the province, or any agency of such a government, of 
(a) projects for the more efficient use and economic development of rural lands specified in the agreement;
(b) projects for
   (i) the development and conservation of water supplies for agricultural or other rural purposes, and  
   (ii) soil improvement and the conservation of rural lands in the province or in any area of the province specified in the agreement; or
(c) projects for the development of income and employment opportunities in rural areas specified in the agreement and the improvement of standards of living in those areas.",Canada,https://laws-lois.justice.gc.ca/eng/acts/A-3/FullText.html,Agriculture
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Freedom of Information and Protection of Privacy Act,Regulation,"Establishes the legislative framework for the Government of Alberta's general policy on access to information and the protection of personal information in the public sector. It provides for public accountability through a right of access to records under the control of public bodies and mandates how a public body is to collect, use and disclose an individual’s personal information.","Information rights
6(1) An applicant has a right of access to any record in the custody
or under the control of a public body, including a record containing
personal information about the applicant.
(2) The right of access to a record does not extend to information
excepted from disclosure under Division 2 of this Part, but if that
information can reasonably be severed from a record, an applicant
has a right of access to the remainder of the record. ",Alberta,https://open.alberta.ca/publications/f25,Education
